,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week
0,20100416,IF1005,3399.0,3450.0,3488.0,3413.2,3415.6,3431.2,48988.0,5053880.532,2702.0,1.0,1.0,1.0
1,20100419,IF1005,3431.2,3396.0,3398.0,3166.2,3197.4,3201.2,109733.0,10820641.22,3954.0,1.0,0.0,0.0
2,20100420,IF1005,3201.2,3209.2,3240.0,3168.8,3214.6,3216.6,141862.0,13634209.03,4496.0,1.0,0.0,0.0
3,20100421,IF1005,3216.6,3215.0,3281.2,3208.0,3267.2,3266.0,114531.0,11126789.49,5062.0,1.0,0.0,0.0
4,20100422,IF1005,3266.0,3260.2,3274.4,3211.0,3236.2,3240.0,133247.0,12962980.76,5383.0,1.0,0.0,0.0
5,20100423,IF1005,3240.0,3241.0,3266.0,3221.0,3221.2,3235.6,116981.0,11388681.53,5808.0,1.0,0.0,0.0
6,20100426,IF1005,3235.6,3243.0,3252.0,3211.8,3219.6,3224.8,112229.0,10894972.78,7079.0,1.0,0.0,0.0
7,20100427,IF1005,3224.8,3201.2,3205.0,3107.6,3138.8,3121.8,139961.0,13200716.02,7386.0,1.0,0.0,0.0
8,20100428,IF1005,3121.8,3101.6,3142.6,3094.2,3129.0,3132.8,128530.0,12047029.9,7092.0,1.0,0.0,0.0
9,20100429,IF1005,3132.8,3141.0,3157.6,3082.2,3083.8,3114.4,116254.0,10941565.38,8705.0,1.0,0.0,0.0
10,20100430,IF1005,3114.4,3103.0,3119.6,3043.0,3107.0,3089.8,184157.0,17031030.16,8297.0,1.0,0.0,0.0
11,20100504,IF1005,3089.8,3079.8,3094.4,3060.8,3076.4,3069.4,150123.0,13859134.76,8261.0,1.0,0.0,0.0
12,20100505,IF1005,3069.4,3046.4,3087.0,3031.0,3076.4,3078.6,145542.0,13349319.84,9600.0,1.0,0.0,0.0
13,20100506,IF1005,3078.6,3078.6,3083.4,2953.6,2967.4,2972.6,170221.0,15450680.86,10150.0,1.0,0.0,0.0
14,20100507,IF1005,2972.6,2928.0,2959.8,2862.2,2897.6,2896.0,240106.0,20959790.5,8282.0,1.0,0.0,0.0
15,20100510,IF1005,2896.0,2910.0,2931.0,2870.0,2918.0,2912.0,201919.0,17591719.76,9873.0,1.0,0.0,0.0
