,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week
0,20150416,IH1505,3058.8,3100.0,3288.2,3088.8,3283.8,3223.6,144423.0,13772866.4,28848.0,1.0,0.0,1.0
1,20150417,IH1505,3223.6,3303.6,3341.6,3238.0,3254.0,3280.8,271224.0,26755207.27,37853.0,1.0,1.0,1.0
2,20150420,IH1505,3280.8,3258.0,3315.0,3143.6,3146.8,3176.8,267213.0,26052943.35,37975.0,1.0,0.0,0.0
3,20150421,IH1505,3176.8,3176.8,3242.2,3153.0,3234.0,3211.2,239311.0,22932009.35,37771.0,1.0,0.0,0.0
4,20150422,IH1505,3211.2,3250.0,3333.2,3229.8,3308.0,3309.6,239676.0,23547571.55,42623.0,1.0,0.0,0.0
5,20150423,IH1505,3309.6,3318.6,3348.2,3253.4,3267.8,3273.2,246929.0,24434814.83,39573.0,1.0,0.0,0.0
6,20150424,IH1505,3273.2,3248.8,3267.8,3170.0,3233.0,3236.6,224297.0,21701019.55,36034.0,1.0,0.0,0.0
7,20150427,IH1505,3236.6,3260.0,3358.0,3257.8,3357.6,3326.4,259172.0,25695510.94,45698.0,1.0,0.0,0.0
8,20150428,IH1505,3326.4,3339.0,3376.0,3265.0,3286.8,3287.0,329692.0,32777472.11,36374.0,1.0,0.0,0.0
9,20150429,IH1505,3287.0,3282.0,3325.6,3261.0,3295.2,3301.6,242567.0,23978665.45,39968.0,1.0,0.0,0.0
10,20150430,IH1505,3301.6,3315.2,3331.2,3247.2,3269.4,3275.4,202408.0,20002330.46,41181.0,1.0,0.0,0.0
11,20150504,IH1505,3275.4,3295.8,3301.8,3225.8,3273.2,3269.4,189061.0,18514600.84,40335.0,1.0,0.0,0.0
12,20150505,IH1505,3269.4,3279.6,3281.6,3141.2,3163.0,3165.8,217674.0,21002333.32,38274.0,1.0,0.0,0.0
13,20150506,IH1505,3165.8,3171.2,3257.4,3116.0,3153.0,3149.0,261933.0,25111305.46,36206.0,1.0,0.0,0.0
14,20150507,IH1505,3149.0,3159.6,3170.0,3103.0,3111.2,3128.4,234619.0,22096186.73,40498.0,1.0,0.0,0.0
15,20150508,IH1505,3128.4,3131.0,3149.0,3051.2,3099.8,3099.2,215483.0,20065850.07,37887.0,1.0,0.0,0.0
16,20150511,IH1505,3099.2,3112.0,3170.4,3078.0,3160.0,3160.8,201465.0,18893483.13,30050.0,1.0,0.0,1.0
17,20150512,IH1505,3160.8,3151.0,3194.6,3138.0,3175.0,3173.4,189729.0,18033006.59,23176.0,1.0,0.0,1.0
18,20150513,IH1505,3173.4,3200.0,3204.8,3112.4,3125.4,3129.4,165986.0,15722948.45,17535.0,1.0,0.0,1.0
19,20150514,IH1505,3129.4,3131.2,3158.4,3108.0,3129.4,3125.2,106178.0,9973657.338,10750.0,1.0,0.0,1.0
20,20150515,IH1506,3111.6,3115.2,3129.8,3021.0,3041.4,3077.6,202862.0,18713921.36,29113.0,1.0043707417405836,1.0,1.0
21,20150518,IH1506,3077.6,3033.6,3049.0,2962.0,2969.4,2983.0,177652.0,16067591.5,30409.0,1.0043707417405836,0.0,0.0
22,20150519,IH1506,2983.0,2973.4,3145.6,2971.2,3143.0,3113.4,295536.0,27327880.9,32724.0,1.0043707417405836,0.0,0.0
23,20150520,IH1506,3113.4,3163.0,3217.0,3102.2,3145.2,3157.0,288447.0,27304150.31,41966.0,1.0043707417405836,0.0,0.0
24,20150521,IH1506,3157.0,3157.0,3200.2,3139.8,3191.4,3175.4,259112.0,24625346.48,44675.0,1.0043707417405836,0.0,0.0
25,20150522,IH1506,3175.4,3200.0,3310.0,3194.0,3303.0,3274.6,323497.0,31609723.75,49710.0,1.0043707417405836,0.0,0.0
26,20150525,IH1506,3274.6,3298.6,3435.4,3280.0,3413.6,3404.6,294392.0,29724105.26,58985.0,1.0043707417405836,0.0,0.0
27,20150526,IH1506,3404.6,3426.0,3458.0,3377.8,3417.8,3430.4,346109.0,35552949.16,60316.0,1.0043707417405836,0.0,0.0
28,20150527,IH1506,3430.4,3453.8,3507.0,3351.8,3396.8,3388.8,342601.0,35143095.39,58323.0,1.0043707417405836,0.0,0.0
29,20150528,IH1506,3388.8,3411.6,3419.0,3121.2,3164.6,3189.2,385437.0,38114669.24,47345.0,1.0043707417405836,0.0,0.0
30,20150529,IH1506,3189.2,3179.4,3194.8,3060.6,3118.6,3109.2,371616.0,35051856.93,37538.0,1.0043707417405836,0.0,0.0
